timestamp;Langeland - Thruster 1 [kW];Langeland - Thruster 2 [kW];Langeland - Thruster 3 [kW];Langeland - Thruster 4 [kW];Langeland - Lever Thruster 1 [%];Langeland - Lever Thruster 2 [%];Langeland - Lever Thruster 3 [%];Langeland - Lever Thruster 4 [%];Langeland - Actual RPM Thruster 1 [RPM];Langeland - Actual RPM Thruster 2 [RPM];Langeland - Actual RPM Thruster 3 [RPM];Langeland - Actual RPM Thruster 4 [RPM];Langeland - Angle Thruster 1 [Degrees];Langeland - Angle Thruster 2 [Degrees];Langeland - Angle Thruster 3 [Degrees];Langeland - Angle Thruster 4 [Degrees];Langeland - Power DG 1 [kW];Langeland - Power DG 2 [kW];Langeland - Power DG 3 [kW];Langeland - Power DG 4 [kW];Langeland - Power DG 5 [kW];Langeland - Total Power [kW];Langeland - Fuel DG 1 [l/h];Langeland - Fuel DG 2 [l/h];Langeland - Fuel DG 3 [l/h];Langeland - Fuel DG 4  [l/h];Langeland - Fuel DG 5 [l/h];Langeland - Shore Power 1 [kW];Langeland - Shore Power 2 [kW];Langeland - Track speed [Knots];Langeland - Autopilot [on/off]
27.10.2019 08:18;255;236;414;406;62;62;76;76;994;1003;1141;1126;3;359;10;8;0;0;803;798;0;1601;0;0;196;204;0;0;0;;1
27.10.2019 08:18;250;228;433;417;62;62;81;82;995;1003;1171;1146;3;359;11;11;0;0;795;802;0;1597;0;0;199;206;0;0;0;10.sep;1
27.10.2019 08:18;241;222;438;426;62;62;82;82;995;1004;1204;1183;3;359;4;4;0;0;811;813;0;1624;0;0;198;208;0;0;0;;1
27.10.2019 08:19;229;210;449;432;62;62;83;83;997;1002;1228;1206;3;359;359;0;0;0;800;796;0;1596;0;0;197;205;0;0;0;11.sep;1
27.10.2019 08:19;220;201;457;439;62;62;84;84;991;1003;1239;1212;3;0;4;10;0;0;809;800;0;1609;0;0;197;205;0;0;0;;0
27.10.2019 08:19;220;202;449;448;62;62;84;84;996;1002;1136;1150;1;0;336;342;0;0;813;802;0;1615;0;0;196;205;0;0;0;12.mai;0
27.10.2019 08:19;219;198;459;464;62;62;84;84;994;1003;1199;1225;1;0;17;13;0;0;821;814;0;1635;0;0;202;209;0;0;0;;0
27.10.2019 08:20;214;199;453;454;62;62;84;84;995;1005;1156;1166;3;359;336;337;0;0;811;803;0;1614;0;0;200;208;0;0;0;12.apr;1
27.10.2019 08:20;212;191;465;454;62;62;84;84;996;1006;1250;1227;3;359;3;3;0;0;793;809;0;1602;0;0;199;205;0;0;0;;1
27.10.2019 08:20;212;192;474;450;62;62;84;84;993;1004;1250;1219;3;359;7;7;0;0;797;809;0;1606;0;0;199;207;0;0;0;12.jun;1
27.10.2019 08:20;208;186;477;463;62;62;84;84;994;1002;1252;1228;3;359;10;10;0;0;799;809;0;1608;0;0;198;207;0;0;0;;1
27.10.2019 08:21;205;186;474;467;62;62;84;84;999;1002;1241;1248;3;359;10;10;0;0;804;810;0;1614;0;0;200;206;0;0;0;12.aug;1
27.10.2019 08:21;203;184;470;461;62;62;84;84;997;1003;1250;1247;3;359;0;1;0;0;806;810;0;1616;0;0;197;207;0;0;0;;1
27.10.2019 08:21;203;185;472;463;62;62;84;84;997;1001;1232;1229;3;359;352;349;0;0;807;812;0;1619;0;0;197;205;0;0;0;12.sep;1
27.10.2019 08:21;204;182;474;466;62;62;84;84;995;1003;1253;1250;3;359;358;358;0;0;808;809;0;1617;0;0;201;208;0;0;0;;1
27.10.2019 08:22;201;181;481;463;62;62;84;84;994;1004;1269;1249;3;359;1;1;0;0;808;807;0;1615;0;0;199;206;0;0;0;12.aug;1
27.10.2019 08:22;199;181;479;463;62;62;84;84;995;1001;1273;1245;3;359;0;0;0;0;808;807;0;1615;0;0;198;210;0;0;0;;1
27.10.2019 08:22;198;178;485;468;62;62;84;84;992;1003;1270;1246;3;359;4;4;0;0;811;805;0;1616;0;0;200;207;0;0;0;12.sep;1
27.10.2019 08:22;194;176;489;469;62;62;84;84;993;1002;1279;1250;3;359;4;4;0;0;804;806;0;1610;0;0;201;208;0;0;0;;1
27.10.2019 08:23;196;175;489;474;62;62;84;84;997;1001;1281;1257;3;359;3;3;0;0;804;807;0;1611;0;0;201;207;0;0;0;12.sep;1
27.10.2019 08:23;199;176;482;464;62;62;84;84;995;1005;1271;1249;3;359;4;3;0;0;805;807;0;1612;0;0;199;206;0;0;0;;1
27.10.2019 08:23;198;177;482;465;62;62;84;84;995;1000;1269;1252;3;359;0;0;0;0;812;791;0;1603;0;0;198;204;0;0;0;12.aug;1
27.10.2019 08:23;199;177;486;466;62;62;84;84;994;1007;1273;1250;3;359;3;4;0;0;810;810;0;1620;0;0;198;208;0;0;0;;1
27.10.2019 08:24;192;175;489;468;62;62;84;84;997;1002;1276;1252;3;359;4;4;0;0;809;808;0;1617;0;0;200;208;0;0;0;12.aug;1
27.10.2019 08:24;196;174;488;467;62;62;84;84;996;1003;1278;1250;3;359;359;359;0;0;809;789;0;1598;0;0;198;204;0;0;0;;1
27.10.2019 08:24;193;172;478;459;62;62;84;84;996;1004;1284;1240;3;359;358;358;0;0;799;799;0;1598;0;0;197;207;0;0;0;12.jul;1
27.10.2019 08:24;199;177;484;471;62;62;84;84;991;1004;1254;1238;3;359;7;10;0;0;812;801;0;1613;0;0;199;206;0;0;0;;1
27.10.2019 08:25;199;178;484;464;62;62;84;84;995;999;1277;1247;3;359;359;359;0;0;802;795;0;1597;0;0;199;207;0;0;0;12.jun;1
27.10.2019 08:25;201;181;469;459;62;62;84;84;996;1003;1227;1216;3;359;13;13;0;0;804;801;0;1605;0;0;199;207;0;0;0;;1
27.10.2019 08:25;201;181;479;464;62;62;84;84;996;1006;1271;1246;3;359;4;4;0;0;806;800;0;1606;0;0;197;204;0;0;0;12.jul;1
